id,section,subsection,title,page,kind,matchable,aliases,body
745b727da28f,Core Rules,,About the Compendium,1,core-rules,False,,"This Compendium book collects together all of the special traits, weapon special rules and effects that make the Batman Miniature Game so compelling and tactically diverse. You’ll require a copy of the Batman Miniature Game 3rd Edition rulebook to use the contents of this compendium."
837d17e7f92e,Core Rules,,Special Modifiers,1,core-rules,False,,"It’s important to differentiate between three types of modifiers:
• + X Ex. Attack: Means that the model gains a + X to the character characteristic.
• + X dice of Ex. Attack: Means that the model gains X extra dice when attacking (but the attribute is not modified).
• + X to its Ex. Attack roll: Means that the model gains an X bonus to the results of its Attack dice (it doesn’t modify its attribute or the number of dice that it rolls)."
07d6d190b81b,Core Rules,,Special Traits,1,core-rules,False,,"Traits provide models with various special rules. These are an exception to the basic rules and always take precedence over them where there is a conflict. In order to benefit from a trait, the model must, of course, possess it (it will be listed on the model’s Character Card). Additionally, some traits require you to spend a Special action to activate the ability – these will be denoted clearly by the appearance of the Bat-Symbol ().
When a model activates a trait, it only benefits from that trait’s effect during its own activation, unless otherwise specified. Finally, if a trait affects friendly models within a certain range, the model using the trait is also included, unless otherwise specified."
ff44d5748f0e,Core Rules,,One Use Only,1,core-rules,False,One use only | Once per game | Once per round,"(ONCE PER ROUND, ONCE PER GAME)
Many traits contain these sentences at the beginning of their description. This simply means that the model may use this trait only once per game, once per round..."
2ec489c12887,Core Rules,,Doses,1,core-rules,False,,"Several traits contain the keyword ‘Dose’. This simply means that the model can use the trait once for each Dose it possesses. For example, if a model has 2 Venom Doses, it can use it twice during the game. Each time a model gains a Dose, it may use the ability one more time if the model is able to do so. A model may only use one Dose per round."
dc95ee0b78e9,Core Rules,,Keywords,1,core-rules,False,,"Some traits (such as Cop and Criminal) don’t have any special rules at all – these are known as ‘keywords’. Other rules and traits reference these keywords, but they don’t do anything on their own."
8c0f619c9b1b,Core Rules,,Dodging,1,core-rules,True,Dodge,A model that benefits from this rule may make an Effort to reduce the attack dice from a Ranged Attack that targets this model.
5084da1b7cd3,Core Rules,,Special Markers,2,core-rules,False,,"Some of the traits and other special rules in this compendium grant one or more special markers to a model. These represent various temporary bonuses. If a model receives more than one special marker of the same type, the effects are cumulative. Markers must be used and discarded the first time the model performs the action of the specified type.
• Attack Marker +: A model with one or more + markers gains one extra attack die in its next Melee Attack action for each marker it possesses. A model cannot have more than 3 + markers at any one time.
• Defense Marker: A model with one or more markers gains one extra die to its next Defense roll for each marker it possesses. A model cannot have more than 3 markers at any one time.
• Movement Boost Marker: A model with a marker adds +2 +2 a number of inches to its basic move distance for its next Movement action, equal to value on the marker. These markers aren’t cumulative, when a model receives a marker with a higher value, it replaces the lower value marker.
• Movement Penalty Marker: A model with one marker 2 2 deducts a number of inches from its basic move distance for its next Movement action, equal to the value on the marker, to a minimum of 0. These markers aren’t cumulative, when a model receives a marker with a higher value, it replaces the lower value marker.
Note that Movement Boost and Movement Penalty markers counter each other (so a model with a +6” from boost marker and -4” from penalty marker would gain a +2” bonus to its next Movement action).
There are also markers known as Numeric Counters, that markers contain ever a number between the 1 and 6. It cannot be increased below 6, but can reach 0, when it happens, the Numeric Counter is removed."
1093fb04a6bc,Core Rules,Special Markers,Attack Marker,2,marker,True,Attack markers,A model with one or more Attack markers gains one extra attack die in its next Melee Attack action for each marker it possesses. A model cannot have more than 3 Attack markers at any one time.
3bcf52c5cfe3,Core Rules,Special Markers,Defense Marker,2,marker,True,Defense markers,A model with one or more Defense markers gains one extra die to its next Defense roll for each marker it possesses. A model cannot have more than 3 Defense markers at any one time.
a7bf9e456675,Core Rules,Special Markers,Movement Boost Marker,2,marker,True,Movement Boost,A Movement Boost marker adds its value in inches to the model’s basic move distance for its next Movement action. These markers are not cumulative; a higher value replaces a lower one.
9a9c266c3c3d,Core Rules,Special Markers,Movement Penalty Marker,2,marker,True,Movement Penalty,"A Movement Penalty marker deducts its value in inches from the model’s basic move distance for its next Movement action, to a minimum of 0. These markers are not cumulative; a higher value replaces a lower one."
cf1f12a8d570,Core Rules,Special Markers,Numeric Counter,2,marker,True,Numeric Counters,"A Numeric Counter contains a number between 1 and 6. It cannot be increased above 6, but can reach 0; when it reaches 0, remove it."
264e64b6a519,Traits,,A Challenge for you,2,trait,True,,"Every time your crew places a Suspect, you must place a Numeric Counter on it. You decide the number on the counter, unless a card or ability specifies the number. These Numeric Counters cannot be reduced below 0."
